MakeRoot 1
AddRight 9048 7326
AddRight 9049 7820
AddLeft 9050 7228
AddLeft 9051 4061
AddRight 9052 3218
AddRight 9053 8492
AddLeft 9054 7462
AddLeft 9055 7160
AddLeft 9056 6822
AddRight 9057 4583
AddRight 9058 7388
AddRight 9059 7544
AddLeft 9060 3702
AddRight 9061 1686
AddRight 9062 5614
AddRight 9063 8257
AddLeft 9064 8631
AddRight 9065 6648
AddRight 9066 4335
AddRight 9067 7946
AddRight 9068 6502
AddRight 9069 8887
AddRight 9070 7371
AddLeft 9071 7856
AddLeft 9072 5105
AddLeft 9073 402
AddRight 9074 6112
AddLeft 9075 5875
AddRight 9076 2224
AddLeft 9077 4691
AddLeft 9078 5210
AddLeft 9079 7261
AddRight 9080 7493
AddRight 9081 6575
AddRight 9082 4746
AddLeft 9083 3725
AddRight 9084 6517
AddRight 9085 8979
AddRight 9086 4048
AddRight 9087 4196
AddRight 9088 8605
AddRight 9089 8222
AddLeft 9090 8715
AddRight 9091 6847
AddRight 9092 3832
AddRight 9093 5949
AddRight 9094 5978
AddRight 9095 2905
AddRight 9096 2680
AddRight 9097 3560
AddRight 9098 5086
AddRight 9099 8308
AddLeft 9100 6359
AddLeft 9101 7725
AddRight 9102 3340
AddRight 9103 3518
AddLeft 9104 7968
AddLeft 9105 5300
AddLeft 9106 8117
AddRight 9107 8500
AddLeft 9108 3317
AddLeft 9109 4833
AddLeft 9110 6356
AddLeft 9111 8602
AddLeft 9112 8872
AddRight 9113 6864
AddRight 9114 7221
AddRight 9115 3431
AddRight 9116 4981
AddLeft 9117 5810
AddLeft 9118 6810
AddLeft 9119 6904
AddRight 9120 1666
AddRight 9121 3906
AddRight 9122 7188
AddLeft 9123 8671
AddRight 9124 4457
AddLeft 9125 6719
AddLeft 9126 6732
AddRight 9127 3571
AddRight 9128 6308
AddRight 9129 6063
AddRight 9130 7266
AddRight 9131 7141
AddRight 9132 5806
AddRight 9133 9108
AddLeft 9134 9107
AddLeft 9135 8140
AddRight 9136 3056
AddLeft 9137 5109
AddLeft 9138 6229
AddLeft 9139 4380
AddLeft 9140 8103
AddRight 9141 2307
AddLeft 9142 8125
AddRight 9143 7911
AddRight 9144 4730
AddLeft 9145 2176
AddLeft 9146 6486
AddLeft 9147 7805
AddLeft 9148 4924
AddLeft 9149 8182
AddRight 9150 2596
AddLeft 9151 7005
AddRight 9152 6721
AddLeft 9153 8199
AddLeft 9154 8094
AddLeft 9155 6815
AddRight 9156 8306
AddLeft 9157 4605
AddRight 9158 3219
AddRight 9159 8886
AddLeft 9160 2653
AddRight 9161 7936
AddRight 9162 5531
AddLeft 9163 4337
AddLeft 9164 8796
AddLeft 9165 5873
AddLeft 9166 836
AddLeft 9167 4236
AddLeft 9168 4651
AddLeft 9169 6977
AddRight 9170 7530
AddLeft 9171 3886
AddLeft 9172 6575
AddLeft 9173 2122
AddRight 9174 3775
AddLeft 9175 5043
AddLeft 9176 7656
AddLeft 9177 3625
AddLeft 9178 7112
AddRight 9179 6821
AddRight 9180 8682
AddRight 9181 4433
AddLeft 9182 8383
AddLeft 9183 9074
AddRight 9184 5119
AddLeft 9185 4063
AddLeft 9186 7631
AddRight 9187 5934
AddRight 9188 6057
AddRight 9189 7879
AddRight 9190 2981
AddRight 9191 8653
AddRight 9192 3589
AddLeft 9193 7685
AddLeft 9194 6106
AddRight 9195 6527
AddLeft 9196 6931
AddLeft 9197 5847
AddRight 9198 7259
AddRight 9199 7774
AddRight 9200 8121
AddRight 9201 3313
AddRight 9202 6091
AddLeft 9203 3587
AddRight 9204 4790
AddRight 9205 8466
AddLeft 9206 2247
AddRight 9207 9082
AddRight 9208 5838
AddRight 9209 645
AddRight 9210 1678
AddRight 9211 5731
AddRight 9212 7281
AddLeft 9213 6222
AddLeft 9214 982
AddRight 9215 4724
AddRight 9216 5218
AddRight 9217 4094
AddRight 9218 8052
AddLeft 9219 4000
AddRight 9220 1359
AddRight 9221 2631
AddLeft 9222 3584
AddRight 9223 5128
AddRight 9224 7887
AddLeft 9225 4478
AddLeft 9226 4614
AddRight 9227 1112
AddRight 9228 6400
AddLeft 9229 5238
AddRight 9230 8447
AddRight 9231 2190
AddRight 9232 8987
AddRight 9233 2246
AddLeft 9234 6119
AddRight 9235 8790
AddLeft 9236 8828
AddRight 9237 8935
AddLeft 9238 6947
AddRight 9239 7913
AddLeft 9240 9050
AddRight 9241 8182
AddRight 9242 2677
AddRight 9243 7438
AddLeft 9244 7206
AddLeft 9245 9190
AddRight 9246 7810
AddRight 9247 5432
AddRight 9248 8787
AddRight 9249 9025
AddLeft 9250 8323
AddRight 9251 5674
AddRight 9252 7335
AddRight 9253 5942
AddLeft 9254 458
AddLeft 9255 8853
AddLeft 9256 4668
AddLeft 9257 5412
AddLeft 9258 2288
AddRight 9259 4147
AddRight 9260 7006
AddRight 9261 5332
AddLeft 9262 2050
AddLeft 9263 2998
AddRight 9264 7815
AddRight 9265 5893
AddRight 9266 4452
AddRight 9267 8079
AddLeft 9268 8909
AddRight 9269 4561
AddLeft 9270 2615
AddLeft 9271 7151
AddRight 9272 6325
AddRight 9273 8575
AddRight 9274 5513
AddRight 9275 8736
AddRight 9276 6652
AddRight 9277 8885
AddRight 9278 6686
AddRight 9279 5763
AddRight 9280 8829
AddRight 9281 5643
AddRight 9282 9159
AddLeft 9283 4252
AddRight 9284 7923
AddLeft 9285 4619
AddRight 9286 3731
AddLeft 9287 2640
AddLeft 9288 9266
AddLeft 9289 8616
AddRight 9290 7090
AddLeft 9291 8057
AddLeft 9292 4662
AddRight 9293 6972
AddRight 9294 4804
AddLeft 9295 4128
AddRight 9296 2476
AddLeft 9297 6528
AddLeft 9298 4766
AddLeft 9299 4253
AddLeft 9300 7214
AddRight 9301 8418
AddLeft 9302 7999
AddRight 9303 4345
AddLeft 9304 7083
AddRight 9305 8146
AddLeft 9306 3092
AddRight 9307 9268
AddRight 9308 7269
AddRight 9309 4642
AddRight 9310 7452
AddRight 9311 8259
AddLeft 9312 5663
AddLeft 9313 7233
AddLeft 9314 2306
AddLeft 9315 8069
AddLeft 9316 3605
AddLeft 9317 8419
AddRight 9318 5101
AddRight 9319 3912
AddRight 9320 9316
AddLeft 9321 5652
AddRight 9322 8972
AddRight 9323 6530
AddLeft 9324 5435
AddRight 9325 2574
AddLeft 9326 8641
AddLeft 9327 3827
AddLeft 9328 8208
AddRight 9329 2964
AddRight 9330 1896
AddLeft 9331 8878
AddRight 9332 4622
AddLeft 9333 4911
AddLeft 9334 4995
AddRight 9335 7642
AddRight 9336 8808
AddRight 9337 6086
AddLeft 9338 6243
AddRight 9339 8803
AddRight 9340 8705
AddLeft 9341 8719
AddRight 9342 9046
AddLeft 9343 7136
AddRight 9344 7328
AddRight 9345 5988
AddLeft 9346 9077
AddLeft 9347 3043
AddLeft 9348 598
AddLeft 9349 8077
AddLeft 9350 6671
AddRight 9351 9029
AddRight 9352 6936
AddLeft 9353 7779
AddRight 9354 3656
AddLeft 9355 5970
AddRight 9356 7214
AddRight 9357 8082
AddRight 9358 8051
AddRight 9359 5132
AddLeft 9360 1831
AddRight 9361 2587
AddLeft 9362 8456
AddRight 9363 2874
AddLeft 9364 6878
AddLeft 9365 3739
AddLeft 9366 8509
AddLeft 9367 3910
AddRight 9368 8450
AddLeft 9369 9026
AddRight 9370 7509
AddLeft 9371 7430
AddRight 9372 7568
AddLeft 9373 3993
AddRight 9374 3328
AddRight 9375 7285
AddLeft 9376 7177
AddLeft 9377 4972
AddLeft 9378 6386
AddRight 9379 7421
AddLeft 9380 7145
AddLeft 9381 1503
AddLeft 9382 8976
AddLeft 9383 7374
AddLeft 9384 5348
AddRight 9385 3279
AddLeft 9386 4323
AddRight 9387 3908
AddLeft 9388 2245
AddLeft 9389 6275
AddLeft 9390 5552
AddRight 9391 3901
AddRight 9392 8058
AddLeft 9393 9112
AddRight 9394 8745
AddLeft 9395 2343
AddLeft 9396 5033
AddLeft 9397 7401
AddRight 9398 2896
AddRight 9399 9062
AddLeft 9400 5609
AddRight 9401 3339
AddLeft 9402 7270
AddLeft 9403 4087
AddRight 9404 8622
AddRight 9405 8440
AddRight 9406 8975
AddLeft 9407 4486
AddRight 9408 8124
AddRight 9409 5457
AddRight 9410 7727
AddRight 9411 8754
AddLeft 9412 8537
AddLeft 9413 9165
AddLeft 9414 6188
AddRight 9415 8961
AddLeft 9416 7100
AddLeft 9417 7280
AddLeft 9418 7428
AddRight 9419 5467
AddLeft 9420 8519
AddLeft 9421 8449
AddRight 9422 6217
AddLeft 9423 3054
AddLeft 9424 4445
AddLeft 9425 3662
AddLeft 9426 4423
AddRight 9427 5130
AddLeft 9428 7826
AddLeft 9429 5090
AddLeft 9430 2236
AddLeft 9431 5078
AddLeft 9432 2025
AddRight 9433 8718
AddLeft 9434 3651
AddLeft 9435 5329
AddLeft 9436 5878
AddRight 9437 6910
AddRight 9438 7387
AddRight 9439 5300
AddRight 9440 8730
AddRight 9441 4005
AddLeft 9442 8695
AddRight 9443 7502
AddLeft 9444 6057
AddRight 9445 8104
AddRight 9446 5779
AddLeft 9447 5294
AddRight 9448 8156
AddLeft 9449 6259
AddRight 9450 6612
AddRight 9451 5278
AddRight 9452 9289
AddRight 9453 7376
AddLeft 9454 2788
AddLeft 9455 7272
AddLeft 9456 3394
AddLeft 9457 6088
AddRight 9458 4715
AddRight 9459 5535
AddRight 9460 1394
AddLeft 9461 8254
AddRight 9462 4046
AddLeft 9463 8202
AddRight 9464 5268
AddRight 9465 7474
AddLeft 9466 6264
AddLeft 9467 8812
AddRight 9468 8471
AddRight 9469 8208
AddLeft 9470 8627
AddRight 9471 4985
AddRight 9472 4393
AddLeft 9473 7941
AddLeft 9474 6554
AddLeft 9475 6755
AddRight 9476 5690
AddRight 9477 6731
AddLeft 9478 6830
AddRight 9479 8812
AddLeft 9480 5627
AddLeft 9481 3447
AddRight 9482 4185
AddRight 9483 2861
AddLeft 9484 5513
AddRight 9485 6600
AddLeft 9486 1040
AddRight 9487 8508
AddRight 9488 6506
AddLeft 9489 6656
AddRight 9490 1409
AddRight 9491 9110
AddRight 9492 4032
AddLeft 9493 5124
AddRight 9494 2828
AddLeft 9495 6709
AddRight 9496 8485
AddLeft 9497 7704
AddLeft 9498 6416
AddLeft 9499 7598
AddLeft 9500 4526
AddLeft 9501 3071
AddLeft 9502 7993
AddRight 9503 9142
AddRight 9504 8534
AddLeft 9505 3386
AddLeft 9506 5073
AddRight 9507 6880
AddRight 9508 7415
AddRight 9509 3736
AddRight 9510 6611
AddLeft 9511 7646
AddLeft 9512 7644
AddRight 9513 2073
AddLeft 9514 7089
AddRight 9515 7085
AddLeft 9516 2983
AddRight 9517 8228
AddRight 9518 5260
AddRight 9519 6361
AddRight 9520 4321
AddRight 9521 5348
AddRight 9522 8848
AddLeft 9523 6532
AddRight 9524 8612
AddRight 9525 5440
AddRight 9526 4170
AddLeft 9527 3668
AddLeft 9528 6349
AddRight 9529 8813
AddRight 9530 6993
AddRight 9531 6712
AddLeft 9532 9333
AddRight 9533 1716
AddRight 9534 3997
AddLeft 9535 8209
AddRight 9536 5473
AddLeft 9537 4657
AddRight 9538 3927
AddRight 9539 9380
AddRight 9540 757
AddRight 9541 5147
AddRight 9542 3058
AddLeft 9543 2120
AddRight 9544 9536
AddLeft 9545 8512
AddLeft 9546 5781
AddRight 9547 8266
AddRight 9548 9307
AddLeft 9549 8650
AddRight 9550 6586
AddLeft 9551 6858
AddRight 9552 5666
AddRight 9553 3118
AddLeft 9554 3826
AddRight 9555 8180
AddLeft 9556 7402
AddRight 9557 6828
AddLeft 9558 3742
AddRight 9559 5191
AddLeft 9560 8212
AddLeft 9561 1300
AddRight 9562 7802
AddRight 9563 7239
AddLeft 9564 5643
AddLeft 9565 6367
AddLeft 9566 7909
AddRight 9567 7596
AddRight 9568 5070
AddRight 9569 7005
AddRight 9570 6232
AddRight 9571 8364
AddLeft 9572 3419
AddRight 9573 9336
AddRight 9574 5125
AddRight 9575 7050
AddRight 9576 2912
AddLeft 9577 5856
AddLeft 9578 9518
AddRight 9579 6540
AddRight 9580 7104
AddLeft 9581 7923
AddLeft 9582 7678
AddLeft 9583 888
AddLeft 9584 9268
AddRight 9585 9120
AddRight 9586 9041
AddLeft 9587 3270
AddLeft 9588 9152
AddLeft 9589 3181
AddRight 9590 6692
AddLeft 9591 7171
AddLeft 9592 9324
AddLeft 9593 3205
AddRight 9594 4351
AddRight 9595 6965
AddLeft 9596 3920
AddLeft 9597 6821
AddLeft 9598 7602
AddRight 9599 3645
AddLeft 9600 7625
AddRight 9601 7987
AddLeft 9602 7197
AddLeft 9603 3717
AddRight 9604 4041
AddRight 9605 9189
AddLeft 9606 1021
AddRight 9607 8351
AddLeft 9608 9101
AddRight 9609 1520
AddRight 9610 5413
AddRight 9611 5410
AddRight 9612 6128
AddRight 9613 9127
AddRight 9614 6859
AddLeft 9615 8245
AddRight 9616 6793
AddRight 9617 6071
AddRight 9618 5641
AddLeft 9619 5932
AddLeft 9620 8849
AddLeft 9621 5314
AddLeft 9622 5232
AddLeft 9623 1667
AddRight 9624 9369
AddLeft 9625 4920
AddLeft 9626 1996
AddLeft 9627 8777
AddLeft 9628 9134
AddRight 9629 5509
AddLeft 9630 9276
AddLeft 9631 7421
AddLeft 9632 3190
AddLeft 9633 9047
AddRight 9634 5097
AddRight 9635 7908
AddRight 9636 6707
AddRight 9637 7535
AddLeft 9638 7152
AddRight 9639 8042
AddLeft 9640 4618
AddLeft 9641 8147
AddRight 9642 5797
AddRight 9643 7358
AddRight 9644 6733
AddLeft 9645 5020
AddRight 9646 7149
AddLeft 9647 7904
AddLeft 9648 7871
AddRight 9649 8983
AddLeft 9650 8518
AddRight 9651 8703
AddLeft 9652 4184
AddRight 9653 6833
AddRight 9654 5858
AddRight 9655 9121
AddLeft 9656 5076
AddLeft 9657 6111
AddLeft 9658 6693
AddRight 9659 9464
AddLeft 9660 3780
AddLeft 9661 6471
AddLeft 9662 3647
AddLeft 9663 7768
AddRight 9664 9652
AddLeft 9665 3747
AddRight 9666 7208
AddRight 9667 1851
AddLeft 9668 3730
AddRight 9669 8697
AddLeft 9670 2004
AddLeft 9671 8193
AddLeft 9672 8778
AddLeft 9673 8499
AddRight 9674 6603
AddLeft 9675 5601
AddLeft 9676 1621
AddLeft 9677 8085
AddRight 9678 7348
AddRight 9679 8636
AddRight 9680 9416
AddRight 9681 6061
AddRight 9682 9145
AddRight 9683 5076
AddRight 9684 5283
AddRight 9685 8683
AddRight 9686 1671
AddLeft 9687 2096
AddLeft 9688 9593
AddLeft 9689 2781
AddLeft 9690 5434
AddLeft 9691 5972
AddRight 9692 9398
AddRight 9693 6562
AddRight 9694 8116
AddLeft 9695 6182
AddLeft 9696 8187
AddLeft 9697 7373
AddLeft 9698 6192
AddLeft 9699 8278
AddRight 9700 2359
AddRight 9701 5056
AddLeft 9702 6262
AddRight 9703 489
AddRight 9704 9491
AddRight 9705 6549
AddLeft 9706 8504
AddLeft 9707 3908
AddLeft 9708 9431
AddRight 9709 6901
AddRight 9710 7587
AddRight 9711 6251
AddLeft 9712 5470
AddLeft 9713 3114
AddLeft 9714 6102
AddLeft 9715 7762
AddLeft 9716 8998
AddRight 9717 6824
AddLeft 9718 5725
AddRight 9719 8933
AddRight 9720 7874
AddRight 9721 7314
AddLeft 9722 7023
AddRight 9723 8606
AddRight 9724 4245
AddRight 9725 5018
AddRight 9726 7236
AddLeft 9727 8620
AddLeft 9728 6402
AddLeft 9729 6008
AddRight 9730 9543
AddRight 9731 6309
AddRight 9732 2867
AddRight 9733 5865
AddRight 9734 7384
AddRight 9735 3392
AddLeft 9736 4981
AddLeft 9737 8257
AddLeft 9738 6062
AddRight 9739 9489
AddLeft 9740 3261
AddLeft 9741 9253
AddLeft 9742 2700
AddRight 9743 6863
AddRight 9744 7491
AddLeft 9745 7628
AddRight 9746 1483
AddRight 9747 3353
AddLeft 9748 5854
AddLeft 9749 9173
AddLeft 9750 9063
AddRight 9751 2231
AddLeft 9752 5905
AddRight 9753 8461
AddRight 9754 8242
AddRight 9755 3273
AddRight 9756 5259
AddLeft 9757 7393
AddRight 9758 7956
AddRight 9759 9052
AddLeft 9760 5836
AddRight 9761 5448
AddLeft 9762 907
AddLeft 9763 5693
AddRight 9764 3955
AddLeft 9765 2126
AddRight 9766 9718
AddRight 9767 7253
AddLeft 9768 4187
AddRight 9769 5026
AddRight 9770 7790
AddLeft 9771 6207
AddRight 9772 5082
AddRight 9773 9293
AddRight 9774 4582
AddRight 9775 6772
AddLeft 9776 6772
AddRight 9777 9619
AddLeft 9778 7627
AddLeft 9779 2791
AddRight 9780 6587
AddLeft 9781 6756
AddLeft 9782 9039
AddRight 9783 9679
AddRight 9784 8344
AddLeft 9785 7887
AddLeft 9786 6856
AddRight 9787 7068
AddLeft 9788 8467
AddRight 9789 7541
AddLeft 9790 8864
AddRight 9791 6714
AddRight 9792 8691
AddLeft 9793 7140
AddLeft 9794 8230
AddRight 9795 4604
AddRight 9796 6983
AddRight 9797 4285
AddRight 9798 3202
AddRight 9799 8777
AddRight 9800 3826
AddRight 9801 5388
AddLeft 9802 6792
AddRight 9803 3087
AddLeft 9804 7659
AddRight 9805 4965
AddRight 9806 1661
AddLeft 9807 9064
AddRight 9808 1273
AddRight 9809 1985
AddLeft 9810 6994
AddRight 9811 6431
AddRight 9812 7022
AddLeft 9813 3722
AddRight 9814 6117
AddRight 9815 6012
AddRight 9816 7536
AddRight 9817 8849
AddLeft 9818 9700
AddLeft 9819 3850
AddRight 9820 6844
AddLeft 9821 6666
AddLeft 9822 8074
AddRight 9823 7851
AddRight 9824 6445
AddLeft 9825 8642
AddLeft 9826 2431
AddLeft 9827 6139
AddRight 9828 9617
AddLeft 9829 7429
AddLeft 9830 5067
AddRight 9831 3548
AddRight 9832 8165
AddLeft 9833 4624
AddLeft 9834 5575
AddLeft 9835 4940
AddRight 9836 9058
AddRight 9837 9547
AddRight 9838 9804
AddRight 9839 1720
AddLeft 9840 6754
AddRight 9841 9609
AddRight 9842 6760
AddLeft 9843 8948
AddRight 9844 3965
AddLeft 9845 9469
AddRight 9846 2650
AddLeft 9847 8167
AddLeft 9848 6042
AddLeft 9849 8827
AddLeft 9850 1709
AddLeft 9851 6634
AddRight 9852 9552
AddLeft 9853 9610
AddLeft 9854 4489
AddRight 9855 8690
AddLeft 9856 9598
AddLeft 9857 5631
AddLeft 9858 7512
AddRight 9859 7424
AddRight 9860 4705
AddRight 9861 1566
AddLeft 9862 7432
AddLeft 9863 7702
AddRight 9864 9678
AddRight 9865 8204
AddLeft 9866 8540
AddLeft 9867 7135
AddLeft 9868 5920
AddLeft 9869 6479
AddRight 9870 5728
AddLeft 9871 2487
AddRight 9872 9722
AddRight 9873 4554
AddLeft 9874 7639
AddLeft 9875 6203
AddRight 9876 7435
AddLeft 9877 5776
AddRight 9878 6100
AddRight 9879 5727
AddLeft 9880 5100
AddRight 9881 1123
AddRight 9882 4000
AddLeft 9883 9795
AddLeft 9884 7128
AddLeft 9885 8792
AddLeft 9886 7104
AddLeft 9887 7122
AddLeft 9888 7790
AddLeft 9889 7592
AddLeft 9890 7998
AddLeft 9891 6216
AddRight 9892 7298
AddLeft 9893 9743
AddLeft 9894 6654
AddRight 9895 3240
AddLeft 9896 1858
AddLeft 9897 2475
AddRight 9898 3200
AddRight 9899 8994
AddLeft 9900 8269
AddRight 9901 5718
AddLeft 9902 3557
AddRight 9903 5364
AddRight 9904 3451
AddRight 9905 9374
AddRight 9906 9017
AddRight 9907 5392
AddLeft 9908 3614
AddLeft 9909 3113
AddRight 9910 5039
AddLeft 9911 3549
AddLeft 9912 8065
AddLeft 9913 5794
AddRight 9914 2477
AddLeft 9915 7016
AddLeft 9916 8634
AddLeft 9917 8935
AddRight 9918 4971
AddLeft 9919 2949
AddLeft 9920 3951
AddRight 9921 7418
AddRight 9922 7866
AddRight 9923 5925
AddRight 9924 7122
AddLeft 9925 6613
AddLeft 9926 7200
AddRight 9927 4541
AddRight 9928 2702
AddLeft 9929 9445
AddLeft 9930 9297
AddLeft 9931 8005
AddLeft 9932 6011
AddLeft 9933 9681
AddRight 9934 6764
AddRight 9935 9184
AddLeft 9936 3049
AddRight 9937 8619
AddRight 9938 8139
AddRight 9939 9173
AddRight 9940 5567
AddLeft 9941 4242
AddRight 9942 9072
AddRight 9943 5556
AddRight 9944 3521
AddRight 9945 9390
AddRight 9946 7777
AddRight 9947 7451
AddRight 9948 6019
AddLeft 9949 5700
AddLeft 9950 1595
AddRight 9951 7907
AddRight 9952 7896
AddRight 9953 505
AddRight 9954 4327
AddRight 9955 5616
AddRight 9956 9172
AddRight 9957 6564
AddLeft 9958 7799
AddLeft 9959 9738
AddRight 9960 3914
AddLeft 9961 8148
AddRight 9962 6313
AddLeft 9963 9806
AddLeft 9964 6378
AddLeft 9965 6827
AddLeft 9966 8364
AddLeft 9967 6644
AddRight 9968 6379
AddLeft 9969 2880
AddRight 9970 8795
AddRight 9971 9404
AddRight 9972 9385
AddLeft 9973 527
AddLeft 9974 6553
AddLeft 9975 9732
AddRight 9976 5817
AddRight 9977 9073
AddRight 9978 4979
AddRight 9979 8265
AddLeft 9980 8688
AddLeft 9981 3603
AddLeft 9982 7585
AddLeft 9983 3301
AddRight 9984 825
AddLeft 9985 5611
AddLeft 9986 7882
AddRight 9987 7010
AddLeft 9988 3566
AddLeft 9989 7336
AddRight 9990 1644
AddLeft 9991 7362
AddLeft 9992 6596
AddRight 9993 2701
AddLeft 9994 6452
AddRight 9995 6021
AddLeft 9996 1726
AddLeft 9997 5233
AddLeft 9998 5811
AddLeft 9999 7784
AddLeft 10000 9519
AddRight 10001 5108
AddLeft 10002 8221
AddRight 10003 8968
AddRight 10004 7405
AddRight 10005 8522
AddLeft 10006 5002
AddRight 10007 7245
AddRight 10008 5939
AddRight 10009 9231
AddRight 10010 7219
AddLeft 10011 9600
AddLeft 10012 9927
AddRight 10013 5488
AddRight 10014 6966
AddLeft 10015 7358
AddRight 10016 1439
AddLeft 10017 9982
AddLeft 10018 4097
AddRight 10019 1260
AddRight 10020 7156
AddRight 10021 6109
AddLeft 10022 6039
AddLeft 10023 6454
AddRight 10024 6443
AddRight 10025 7668
AddRight 10026 9214
AddRight 10027 4293
AddRight 10028 6723
AddRight 10029 7267
AddRight 10030 7142
AddRight 10031 9503
AddLeft 10032 7902
AddLeft 10033 2859
AddRight 10034 7037
AddRight 10035 6897
AddLeft 10036 7311
AddLeft 10037 8833
AddRight 10038 9935
AddLeft 10039 4186
AddLeft 10040 7705
AddRight 10041 1961
AddRight 10042 4505
AddRight 10043 9351
AddLeft 10044 2853
AddLeft 10045 8062
AddRight 10046 8175
AddLeft 10047 9218
AddLeft 10048 9091
AddRight 10049 4276
AddRight 10050 5495
AddLeft 10051 5959
AddLeft 10052 8861
AddRight 10053 7282
AddRight 10054 8939
AddLeft 10055 9840
AddLeft 10056 7878
AddRight 10057 4775
AddLeft 10058 5736
AddRight 10059 4359
AddRight 10060 3241
AddRight 10061 9538
AddRight 10062 9749
AddRight 10063 6937
AddRight 10064 7998
AddLeft 10065 7709
AddRight 10066 7955
AddRight 10067 3756
AddLeft 10068 4188
AddLeft 10069 8710
AddRight 10070 3491
AddRight 10071 4774
AddLeft 10072 9451
AddLeft 10073 7231
AddRight 10074 1754
AddLeft 10075 6882
AddRight 10076 8034
AddLeft 10077 5137
AddRight 10078 2443
AddRight 10079 9273
AddRight 10080 4242
AddRight 10081 7056
AddLeft 10082 1015
AddLeft 10083 1282
AddLeft 10084 9353
AddLeft 10085 9315
AddLeft 10086 2024
AddRight 10087 1916
AddRight 10088 5829
AddLeft 10089 8884
AddRight 10090 8841
AddRight 10091 8895
AddLeft 10092 8606
AddRight 10093 6303
AddLeft 10094 9702
AddRight 10095 9597
AddLeft 10096 7617
AddLeft 10097 9930
AddRight 10098 5008
AddLeft 10099 3491
AddLeft 10100 5311
AddLeft 10101 1014
AddRight 10102 9181
AddRight 10103 9785
AddRight 10104 1331
AddRight 10105 7770
AddLeft 10106 8651
AddRight 10107 7635
AddRight 10108 9950
AddRight 10109 9997
AddLeft 10110 7564
AddLeft 10111 5057
AddLeft 10112 8430
AddLeft 10113 5924
AddLeft 10114 5971
AddLeft 10115 9854
AddRight 10116 8385
AddRight 10117 9883
AddRight 10118 8452
AddRight 10119 5145
AddRight 10120 8909
AddRight 10121 2826
AddLeft 10122 3508
AddRight 10123 9572
AddLeft 10124 2145
AddLeft 10125 9305
AddLeft 10126 6312
AddLeft 10127 8429
AddRight 10128 9508
AddRight 10129 8766
AddLeft 10130 9034
AddRight 10131 5417
AddLeft 10132 10091
AddRight 10133 6702
AddLeft 10134 6776
AddLeft 10135 10080
AddRight 10136 7739
AddLeft 10137 9666
AddLeft 10138 9717
AddLeft 10139 3008
AddLeft 10140 8145
AddRight 10141 5871
AddLeft 10142 4784
AddRight 10143 7857
AddLeft 10144 8548
AddRight 10145 7786
AddLeft 10146 5926
AddRight 10147 6705
AddLeft 10148 9707
AddRight 10149 7524
AddLeft 10150 6946
AddLeft 10151 7866
AddRight 10152 9421
AddLeft 10153 9837
AddRight 10154 7968
AddLeft 10155 8373
AddLeft 10156 7544
AddRight 10157 7931
AddLeft 10158 9124
AddLeft 10159 10008
AddLeft 10160 8334
AddLeft 10161 5347
AddLeft 10162 9123
AddLeft 10163 7535
AddRight 10164 3091
AddLeft 10165 9671
AddRight 10166 9899
AddLeft 10167 3097
AddRight 10168 9233
AddRight 10169 1987
AddRight 10170 9004
AddLeft 10171 1568
AddLeft 10172 9320
AddRight 10173 9210
AddLeft 10174 1414
AddRight 10175 4229
AddLeft 10176 9514
AddLeft 10177 9044
AddLeft 10178 2955
AddLeft 10179 7375
AddLeft 10180 9011
AddRight 10181 7725
AddLeft 10182 10179
AddRight 10183 4725
AddRight 10184 4509
AddRight 10185 7804
AddLeft 10186 6583
AddLeft 10187 10160
AddRight 10188 8264
AddRight 10189 4988
AddLeft 10190 8714
AddLeft 10191 4411
AddRight 10192 5170
AddRight 10193 6451
AddLeft 10194 7484
AddRight 10195 3695
AddLeft 10196 1002
AddRight 10197 2538
AddRight 10198 8239
AddLeft 10199 8495
AddRight 10200 9020
AddRight 10201 3816
AddRight 10202 7446
AddLeft 10203 9961
AddLeft 10204 10130
AddLeft 10205 8942
AddLeft 10206 8220
AddLeft 10207 8093
AddLeft 10208 8826
AddRight 10209 4385
AddRight 10210 8126
AddLeft 10211 7668
AddRight 10212 4473
AddLeft 10213 5034
AddRight 10214 4992
AddRight 10215 8749
AddRight 10216 3673
AddRight 10217 8267
AddLeft 10218 4326
AddLeft 10219 3643
AddRight 10220 8722
AddRight 10221 10125
AddLeft 10222 6928
AddLeft 10223 6849
AddLeft 10224 8742
AddLeft 10225 5525
AddLeft 10226 3408
AddRight 10227 8068
AddRight 10228 6777
AddLeft 10229 9395
AddRight 10230 9047
AddRight 10231 4192
AddLeft 10232 9304
AddRight 10233 5421
AddLeft 10234 8318
AddRight 10235 9911
AddLeft 10236 9370
AddRight 10237 6094
AddLeft 10238 10051
AddLeft 10239 8214
AddRight 10240 4204
AddLeft 10241 9591
AddRight 10242 2502
AddRight 10243 8144
AddLeft 10244 4182
AddLeft 10245 1509
AddLeft 10246 743
AddLeft 10247 8162
AddRight 10248 8076
AddLeft 10249 4952
AddRight 10250 6015
AddRight 10251 5905
AddRight 10252 8857
AddRight 10253 9386
AddRight 10254 6214
AddRight 10255 1940
AddLeft 10256 7134
AddLeft 10257 8170
AddRight 10258 5270
AddLeft 10259 8281
AddLeft 10260 3627
AddLeft 10261 8578
AddRight 10262 6323
AddRight 10263 5073
AddRight 10264 7899
AddRight 10265 7561
AddRight 10266 10119
